Region,Compound,Cow-Stage,Emissions
SW,Enteric_CH4,Beef_Cow_Calf,79.24060471698112
SW,Enteric_CH4,stocker,77.16486972147351
SW,Enteric_CH4,background,67.8595013477089
SW,Enteric_CH4,grain_finish,46.2349730458221
SW,Enteric_CH4,grass_finish,76.99433962264152
NW,Enteric_CH4,Beef_Cow_Calf,79.24060471698112
NW,Enteric_CH4,stocker,77.16486972147351
NW,Enteric_CH4,background,67.8595013477089
NW,Enteric_CH4,grain_finish,46.2349730458221
NW,Enteric_CH4,grass_finish,76.99433962264152
SP,Enteric_CH4,Beef_Cow_Calf,79.24060471698112
SP,Enteric_CH4,stocker,77.16486972147351
SP,Enteric_CH4,background,67.8595013477089
SP,Enteric_CH4,grain_finish,46.2349730458221
SP,Enteric_CH4,grass_finish,76.99433962264152
NP,Enteric_CH4,Beef_Cow_Calf,79.24060471698112
NP,Enteric_CH4,stocker,77.16486972147351
NP,Enteric_CH4,background,67.8595013477089
NP,Enteric_CH4,grain_finish,46.2349730458221
NP,Enteric_CH4,grass_finish,76.99433962264152
Midwest,Enteric_CH4,Beef_Cow_Calf,79.24060471698112
Midwest,Enteric_CH4,stocker,77.16486972147351
Midwest,Enteric_CH4,background,67.8595013477089
Midwest,Enteric_CH4,grain_finish,46.2349730458221
Midwest,Enteric_CH4,grass_finish,76.99433962264152
NE,Enteric_CH4,Beef_Cow_Calf,79.24060471698112
NE,Enteric_CH4,stocker,77.16486972147351
NE,Enteric_CH4,background,67.8595013477089
NE,Enteric_CH4,grain_finish,46.2349730458221
NE,Enteric_CH4,grass_finish,76.99433962264152
SE,Enteric_CH4,Beef_Cow_Calf,79.24060471698112
SE,Enteric_CH4,stocker,77.16486972147351
SE,Enteric_CH4,background,67.8595013477089
SE,Enteric_CH4,grain_finish,46.2349730458221
SE,Enteric_CH4,grass_finish,76.99433962264152
SW,Manure_CH4,Beef_Cow_Calf,2.5129801283472695
SW,Manure_CH4,stocker,2.447151746369919
SW,Manure_CH4,background,2.539557690826093
SW,Manure_CH4,grain_finish,1.5753966283584382
SW,Manure_CH4,grass_finish,2.441743676212195
NW,Manure_CH4,Beef_Cow_Calf,1.6753200855648465
NW,Manure_CH4,stocker,1.6314344975799462
NW,Manure_CH4,background,1.645884869474382
NW,Manure_CH4,grain_finish,1.0502644189056254
NW,Manure_CH4,grass_finish,2.441743676212195
SP,Manure_CH4,Beef_Cow_Calf,3.350640171129693
SP,Manure_CH4,stocker,3.2628689951598924
SP,Manure_CH4,background,8.229424347371912
SP,Manure_CH4,grain_finish,5.251322094528128
SP,Manure_CH4,grass_finish,2.441743676212195
NP,Manure_CH4,Beef_Cow_Calf,1.6753200855648465
NP,Manure_CH4,stocker,1.6314344975799462
NP,Manure_CH4,background,1.645884869474382
NP,Manure_CH4,grain_finish,1.0502644189056254
NP,Manure_CH4,grass_finish,2.441743676212195
Midwest,Manure_CH4,Beef_Cow_Calf,2.5129801283472695
Midwest,Manure_CH4,stocker,2.447151746369919
Midwest,Manure_CH4,background,2.468827304211573
Midwest,Manure_CH4,grain_finish,1.5753966283584382
Midwest,Manure_CH4,grass_finish,2.441743676212195
NE,Manure_CH4,Beef_Cow_Calf,2.5129801283472695
NE,Manure_CH4,stocker,2.447151746369919
NE,Manure_CH4,background,2.468827304211573
NE,Manure_CH4,grain_finish,1.5753966283584382
NE,Manure_CH4,grass_finish,2.441743676212195
SE,Manure_CH4,Beef_Cow_Calf,3.350640171129693
SE,Manure_CH4,stocker,3.2628689951598924
SE,Manure_CH4,background,8.229424347371912
SE,Manure_CH4,grain_finish,5.251322094528128
SE,Manure_CH4,grass_finish,2.441743676212195
SW,Manure_N2O,Beef_Cow_Calf,1.9865808864
SW,Manure_N2O,stocker,1.9345417142857144
SW,Manure_N2O,background,1.9852454285714283
SW,Manure_N2O,grain_finish,1.5322157714285713
SW,Manure_N2O,grass_finish,1.8435044571428576
NW,Manure_N2O,Beef_Cow_Calf,1.9865808864
NW,Manure_N2O,stocker,1.9345417142857144
NW,Manure_N2O,background,1.9852454285714283
NW,Manure_N2O,grain_finish,1.5322157714285713
NW,Manure_N2O,grass_finish,1.8435044571428576
SP,Manure_N2O,Beef_Cow_Calf,1.9865808864
